"entity_id","prod_sku","prod_libelle","sd_code_sogge","sd_marque","sd_volume","sd_conditionnement","rpd_grouping_code","rpd_libelle","semantic"
"84270","fb-76304","PAGO ORANGE CAROTTE CITRON   PET 12X33CL","","PAGO","","","94sogge-13","PAGO ORANGE CAROTTE CITRON   PET 12X33CL"," marque:pago   parfum:orange   parfum:carotte   parfum:citron     cond:pet     cont:33cl  col:12"
"82232","mp-1580","PAGO ORANGE CITRON 24X20CL","","PAGO","","","","",""
"68332","c10-1100004862","PAGO PECHE 33CL PET X12","","PAGO","33CL","PET","","",""
"68333","c10-1100001895","PAGO PJ ORANGE 10L BIB","","PAGO","10L","BIB","","",""
"68334","c10-1100007060","PAGO PJ ORANGE 1L PET X6","","PAGO","1L","PET","","",""
"68338","c10-1100001713","PAGO PJ POMME PRESSEE 33CL PET X12","","PAGO","33CL","PET","94sogge-55","PAGO PJ POMME PRESSEE 33CL PET X12"," marque:pago   extra:jus   parfum:pomme   extra:pressee   cont:33cl   cond:pet     col:12"
"68285","c10-1100000968","PAGO ACE 33CL PET X12","83sogge-1","PAGO","33CL","PET","","",""
"82253","mp-6265","PAGO PET ACE 12 X33CL","83sogge-1","PAGO","33CL","PET","","",""
"82205","mp-120737","PAGO PET ACE 12X33CL","83sogge-1","PAGO","33CL","PET","","",""
"68258","c10-1100000970","PAGO ABC ORANGE 1.5L PET X6","83sogge-2","PAGO","1,5L","PET","94sogge-490","PAGO ABC ORANGE 1.5L PET X6"," marque:pago   extra:abc   parfum:orange   cont:1,5l   cond:pet     col:6"
"82199","mp-22414","PAGO NECTAR ORANGE 150 CL X 6","83sogge-2","PAGO","1,5L","PET","94sogge-490","PAGO NECTAR ORANGE 150 CL X 6"," marque:pago   extra:nectar   parfum:orange   cont:1,5l     col:6"
"68250","c10-1100001114","PAGO ABC ANANAS 1.5L PET X6","83sogge-3","PAGO","1,5L","PET","94sogge-500","PAGO ABC ANANAS 1.5L PET X6"," marque:pago   extra:abc   parfum:ananas   cont:1,5l   cond:pet     col:6"
"82201","mp-22416","PAGO NECTAR ANANAS 150 CL X 6","83sogge-3","PAGO","1,5L","PET","94sogge-500","PAGO NECTAR ANANAS 150 CL X 6"," marque:pago   extra:nectar   parfum:ananas   cont:1,5l     col:6"
"68267","c10-1100001115","PAGO ABC POMME 1.5L PET X6","83sogge-4","PAGO","1,5L","PET","94sogge-516","PAGO ABC POMME 1.5L PET X6"," marque:pago   extra:abc   parfum:pomme   cont:1,5l   cond:pet     col:6"
"82200","mp-22415","PAGO JUS POMME 150 CL X 6","83sogge-4","PAGO","1,5L","PET","94sogge-516","PAGO JUS POMME 150 CL X 6"," marque:pago   extra:jus   parfum:pomme   cont:1,5l     col:6"
"82229","mp-150203","PAGO CITRON CITRO.VERT 12X20CL","83sogge-5","PAGO","20CL","BTL","","",""
"84174","fb-95512","PAGO CITRON CITRON VERT          12X20CL","83sogge-5","PAGO","20CL","BTL","","",""
"68287","c10-1100001716","PAGO CITRON CITRON VERT 20CL VP X12","83sogge-5","PAGO","20CL","BTL","","",""
"82215","mp-33218","PAGO CITRON CITRON VERT12X20CL","83sogge-5","PAGO","20CL","BTL","","",""
"68260","c10-1100001858","PAGO ABC ORANGE 1L PET X6","83sogge-6","PAGO","1L","PET","94sogge-577","PAGO ABC ORANGE 1L PET X6"," marque:pago   extra:abc   parfum:orange   cont:1l   cond:pet     col:6"
"82195","mp-260307","PAGO JUS ABC ORANGE 1 L X 6","83sogge-6","PAGO","1L","PET","94sogge-577","PAGO JUS ABC ORANGE 1 L X 6"," marque:pago   extra:jus   extra:abc   parfum:orange   cont:1l     col:6"
"68266","c10-1100001891","PAGO ABC PAMPLEMOUSSE 1L PET X6","83sogge-7","PAGO","1L","PET","","",""
"84261","fb-97496","PAGO CONCENTRE PAMPLEMOUSSE   PET6X100CL","83sogge-7","PAGO","1L","PET","","",""
"82197","mp-260310","PAGO JUS  PAMPLEMOUSSE 1 L X 6","83sogge-7","PAGO","1L","PET","","",""
"68273","c10-1100004792","PAGO ABC RHUBARBE 20CL VP X12","84sogge-1067","PAGO","20CL","BTL","94sogge-456","PAGO ABC RHUBARBE 20CL VP X12"," marque:pago   extra:abc   parfum:rhubarbe   cont:20cl   cond:vp     col:12"
"82230","mp-151117","PAGO BOISSON RHUBARBE 12X20CL","84sogge-1067","PAGO","20CL","BTL","","",""
"84193","fb-108750","PAGO RHUBARBE                VP 12X20 CL","84sogge-1067","PAGO","20CL","BTL","94sogge-456","PAGO RHUBARBE                VP 12X20 CL"," marque:pago   parfum:rhubarbe                  cond:vp     cont:20cl  col:12"
"68289","c10-1100001167","PAGO CITRON CITRON VERT 33CL PET X12","84sogge-1096","PAGO","33CL","PET","94sogge-3","PAGO CITRON CITRON VERT 33CL PET X12"," marque:pago   parfum: parfum:citron    parfum: parfum:citron vert   cont:33cl   cond:pet     col:12"
"82210","mp-120742","PAGO CITRON-CITRON VERT12X33CL","84sogge-1096","PAGO","33CL","PET","94sogge-3","PAGO CITRON-CITRON VERT12X33CL"," marque:pago   parfum: parfum:citron  - parfum: parfum:citron vert    cont:33cl  col:12"
"68278","c10-1100000971","PAGO ABC TROPICAL MULTIVIT 33CL PET X12","84sogge-1097","PAGO","33CL","PET","94sogge-5","PAGO ABC TROPICAL MULTIVIT 33CL PET X12"," marque:pago   extra:abc   parfum:tropical   parfum:multivitamine   cont:33cl   cond:pet     col:12"
"84268","fb-76302","PAGO JUS MULTIVITAMI TROPICAL PET12X33CL","84sogge-1097","PAGO","33CL","PET","94sogge-5","PAGO JUS MULTIVITAMI TROPICAL PET12X33CL"," marque:pago   extra:jus   extra:multivitamine MI  parfum:tropical   cond:pet    cont:33cl  col:12"
"82206","mp-120738","PAGO PET COCK TROPICAL 12X33CL","84sogge-1097","PAGO","33CL","PET","94sogge-5","PAGO PET COCK TROPICAL 12X33CL"," marque:pago   cond:pet   parfum:cocktail   parfum:tropical     cont:33cl  col:12"
"84267","fb-87162","PAGO FRAISE                  PET 12X33CL","84sogge-1122","PAGO","33CL","PET","94sogge-428","PAGO FRAISE                  PET 12X33CL"," marque:pago   parfum:fraise                    cond:pet     cont:33cl  col:12"
"82211","mp-120743","PAGO FRAISE 12X33CL","84sogge-1122","PAGO","33CL","PET","","",""
"68299","c10-1100000969","PAGO FRAISE 33CL PET X12","84sogge-1122","PAGO","33CL","PET","94sogge-428","PAGO FRAISE 33CL PET X12"," marque:pago   parfum:fraise   cont:33cl   cond:pet     col:12"
"68256","c10-1100002557","PAGO ABC FRAMBOISE 20CL VP X12","84sogge-1147","PAGO","20CL","BTL","","",""
"82228","mp-140257","PAGO BOISSON FRAMBOISE 12X20CL","84sogge-1147","PAGO","20CL","BTL","","",""
"84177","fb-24911","PAGO FRAMBOISE                  12X20 CL","84sogge-1147","PAGO","20CL","BTL","","",""
"68268","c10-1100002238","PAGO ABC POMME 10L BIB","84sogge-1151","PAGO","10L","BIB","94sogge-112","PAGO ABC POMME 10L BIB"," marque:pago   extra:abc   parfum:pomme   cont:10l   cond:bib  col:1"
"84100","fb-95473","PAGO JUS POMME                   BIB 10L","84sogge-1151","PAGO","10L","BIB","94sogge-112","PAGO JUS POMME                   BIB 10L"," marque:pago   extra:jus   parfum:pomme                     cond:bib   cont:10l  col:1"
"82203","mp-260463","BIB PAGO NECTAR  ORANGE 10 L","84sogge-1152","PAGO","10L","BIB","94sogge-113","BIB PAGO NECTAR  ORANGE 10 L"," cond:bib   marque:pago   extra:nectar    parfum:orange   cont:10l  col:1"
"84101","fb-95475","PAGO NECTAR ORANGE               BIB 10L","84sogge-1152","PAGO","10L","BIB","94sogge-113","PAGO NECTAR ORANGE               BIB 10L"," marque:pago   extra:nectar   parfum:orange                 cond:bib   cont:10l  col:1"
"84188","fb-99471","PAGO NECTAR PAMPLEMOUSSE JAUNE  12X20CL","84sogge-1185","PAGO","20CL","BTL","","",""
"68326","c10-1100000740","PAGO NECTAR PAMPLEMOUSSE JNE 20CL VP X24","84sogge-1185","PAGO","20CL","BTL","","",""
"68277","c10-1100002411","PAGO ABC TROPICAL MULTIVIT 20CL VP X12","84sogge-1224","PAGO","20CL","BTL","","",""
"82218","mp-120817","PAGO COCKT. TROPICAL 12X20CL","84sogge-1224","PAGO","20CL","BTL","","",""
"84181","fb-99447","PAGO JUS TROPICAL MULTIVITAMINE 12X20CL","84sogge-1224","PAGO","20CL","BTL","","",""
