entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel
68272,c10-1100004401,PAGO ABC POMME 33CL PET X12,,PAGO,PET,33CL,PAGO FRANCE
68252,c10-1100002410,PAGO ABC ANANAS 20CL VP X12,,PAGO,BTL,20CL,PAGO FRANCE
84262,fb-97497,PAGO CONCENTRE POMME         PET 6X100CL,,PAGO,PET,1L,PAGO FRANCE
82232,mp-1580,PAGO ORANGE CITRON 24X20CL,,PAGO,,,PAGO FRANCE
68262,c10-1100002321,PAGO ABC ORANGE 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
68332,c10-1100004862,PAGO PECHE 33CL PET X12,,PAGO,PET,33CL,PAGO FRANCE
68253,c10-1100000741,PAGO ABC ANANAS 20CL VP X24,,PAGO,BTL,20CL,PAGO FRANCE
82234,mp-2958,PAGO JUS RAISIN 24X20CL,,PAGO,,,PAGO FRANCE
68313,c10-1100002316,PAGO NECTAR BANANE 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
68320,c10-1100007386,PAGO NECTAR MYRTILLE 20CL VP X24,,PAGO,BTL,20CL,PAGO FRANCE
84270,fb-76304,PAGO ORANGE CAROTTE CITRON   PET 12X33CL,,PAGO,,,PAGO FRANCE
68301,c10-1100001856,PAGO FRAISE 75CL VP X6,,PAGO,BTL,75CL,PAGO FRANCE
68295,c10-1100002116,PAGO FIZZ CITRON VERT PET 50CL X12,,PAGO,PET,50CL,PAGO FRANCE
68275,c10-1100005627,PAGO ABC RHUBARBE 33CL PET X12,,PAGO,PET,33CL,PAGO FRANCE
84259,fb-100384,PAGO COCKT TROPICAL MULTIVITA PET6X100CL,,PAGO,PET,1L,PAGO FRANCE
82212,mp-120744,PAGO ORANGE 12X33CL,,PAGO,,,PAGO FRANCE
68317,c10-1100002320,PAGO NECTAR MANGO 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
84191,fb-99465,PAGO ORANGE CAROTTE CITRON      12X20CL,,PAGO,,,PAGO FRANCE
82244,mp-6260,PAGO MELON FRUITS SOLEIL 24/20,,PAGO,,,PAGO FRANCE
68306,c10-1100002315,PAGO NECTAR ABRICOT 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
68334,c10-1100007060,PAGO PJ ORANGE 1L PET X6,,PAGO,PET,1L,PAGO FRANCE
85843,fb-99446,PAGO JUS ANANAS                 12X20CL,,PAGO,,,PAGO FRANCE
84257,fb-106214,PAGO ACE ORANGE CAROTTE CITRON  PET6X100,,PAGO,,,PAGO FRANCE
82248,mp-22148,PAGO GRENADE-FRAMBOISE 24X20CL,,PAGO,,,PAGO FRANCE
68265,c10-1100001896,PAGO ABC PAMPLEMOUSSE 10L BIB,,PAGO,BIB,10L,PAGO FRANCE
68259,c10-1100005538,PAGO ABC ORANGE 10L BIB,,PAGO,BIB,10L,PAGO FRANCE
68279,c10-1100002319,PAGO ABC TROPICAL MULTIVIT 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
84258,fb-97495,PAGO ANANAS                  PET 6X100CL,,PAGO,PET,1L,PAGO FRANCE
68251,c10-1100001890,PAGO ABC ANANAS 1L PET X6,,PAGO,PET,1L,PAGO FRANCE
68255,c10-1100002314,PAGO ABC ANANAS 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
68329,c10-1100002323,PAGO NECTAR PECHE 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
84256,fb-100388,PAGO ABRICOT                 PET 6X100CL,,PAGO,,,PAGO FRANCE
82194,mp-160454,PAGO NECTAR ANANAS  1 L X 6,,PAGO,,,PAGO FRANCE
68324,c10-1100003209,PAGO NECTAR ORANGE SANGUINE 20CL VP X12,,PAGO,BTL,20CL,PAGO FRANCE
68271,c10-1100000750,PAGO ABC POMME 20CL VP X24,,PAGO,BTL,20CL,PAGO FRANCE
68333,c10-1100001895,PAGO PJ ORANGE 10L BIB,,PAGO,BIB,10L,PAGO FRANCE
68274,c10-1100005154,PAGO ABC RHUBARBE 20CL VP X24,,PAGO,BTL,20CL,PAGO FRANCE
68300,c10-1100002318,PAGO FRAISE 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
68319,c10-1100004553,PAGO NECTAR MANGUE PASSION 1L PET X6,,PAGO,PET,1L,PAGO FRANCE
68307,c10-1100002322,PAGO NECTAR ACE 75CL PET X6,,PAGO,PET,75CL,PAGO FRANCE
