entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel,
83724,fb-10241,FANTA ORANGE DA             BTE 24X33CL,87sogge-122,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
36270,c10-1100000297,FANTA ORANGE BTE 33CL X24,87sogge-122,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
82078,mp-481,BTE FANTA ORANGE 24X33CL,87sogge-122,FANTA,BTE,33CL,COCA COLA ENTREPRISE,
36287,c10-1100000302,FANTA STILL ORANGE BTE 33CL X24,,FANTA STILL,BTE,33CL,COCA COLA ENTREPRISE,
36288,c10-1100000308,FANTA STILL ORANGE FRUITS ROUGES PET 1.5,,FANTA STILL,PET,1.5L,5L,COCA COLA ENTREPRISE
36286,c10-1100000306,FANTA STILL ORANGE AGRUMES PET 1.5L X6,,FANTA STILL,PET,1.5L,5L,COCA COLA ENTREPRISE
36295,c10-1100000311,FANTA STILL TROPICAL PET 50CL X24,,FANTA STILL,PET,50CL,COCA COLA ENTREPRISE,
36289,c10-1100000304,FANTA STILL ORANGE PET 1.5L X6,,FANTA STILL,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36293,c10-1100000310,FANTA STILL TROPICAL PET 1.5L X6,,FANTA STILL,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36292,c10-1100000370,FANTA STILL TROPICAL PET 1.5L X4,,FANTA STILL,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
82074,mp-260095,FANTA STILL TROPICAL PET 12X50,84sogge-1623,FANTA STILL,PET,50CL,COCA COLA ENTREPRISE,
36294,c10-1100004325,FANTA STILL TROPICAL PET 50CL X12,84sogge-1623,FANTA STILL,PET,50CL,COCA COLA ENTREPRISE,
82084,mp-260097,BTE FANTA STILL TROPICAL 24X33,84sogge-1655,FANTA STILL,BTE,33CL,COCA COLA ENTREPRISE,
36291,c10-1100000309,FANTA STILL TROPICAL BTE 33CL X24,84sogge-1655,FANTA STILL,BTE,33CL,COCA COLA ENTREPRISE,
36290,c10-1100000303,FANTA STILL ORANGE PET 50CL X24,86sogge-355,FANTA STILL,PET,50CL,COCA COLA ENTREPRISE,
82073,mp-260094,FANTA STILL ORANGE PET 12X50CL,86sogge-355,FANTA STILL,PET,50CL,COCA COLA ENTREPRISE,
36297,c10-1100000313,FANTA WORLD MEXIQUE PET 1.5L X12,,FANTA WORLD,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
